Kode Provinsi,Provinsi,kode kabupaten,Kabupaten,kode kecamatan,Kecamatan,kode desa,Desa
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,SEMELAGI BESAR
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,SUNGAI DAUN
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,SUNGAI RUSA
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,PANGKALAN BEMBAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,SUNGAI NYIRIH
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,KUALA
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,PARIT BARU
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,TWI MENTIBAR
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,BENTUNAI
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,PARIT KONGSI
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU,,GAYUNG BERSAMBUT
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU TIMUR,,GELIK
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU TIMUR,,SERANGGAM
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU TIMUR,,SELAKAU TUA
61,KALIMANTAN BARAT,6101,SAMBAS,,SELAKAU TIMUR,,BUDUK SEMPADANG
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,PERAPAKAN
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,JELUTUNG
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,HARAPAN
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,PENJAJAP
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,PEMANGKAT 
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,SEBATUAN
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,GUGAH SEJAHTERA
61,KALIMANTAN BARAT,6101,SAMBAS,,PEMANGKAT,,LONAM
61,KALIMANTAN BARAT,6101,SAMBAS,,SEMPARUK,,SEBURING
61,KALIMANTAN BARAT,6101,SAMBAS,,SEMPARUK,,SEPADU
61,KALIMANTAN BARAT,6101,SAMBAS,,SEMPARUK,,SEPINGGAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SEMPARUK,,SEMPARUK
61,KALIMANTAN BARAT,6101,SAMBAS,,SEMPARUK,,SINGA RAYA
61,KALIMANTAN BARAT,6101,SAMBAS,,SALATIGA,,PARIT BARU
61,KALIMANTAN BARAT,6101,SAMBAS,,SALATIGA,,SALATIGA
61,KALIMANTAN BARAT,6101,SAMBAS,,SALATIGA,,SUNGAI TOMAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SALATIGA,,SERUMPUN
61,KALIMANTAN BARAT,6101,SAMBAS,,SALATIGA,,SERUNAI
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SERET AYON
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,MARIBAS
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,BATU MAKJAGE
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,BUKIT SIGOLER
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SERINDANG
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,MATANG LABONG
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,MAKTANGGUK
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SEGEDONG
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,PUSAKA
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,MENSERE
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SUNGAI KELAMBU
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SERUMPUN BULUH
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,PANGKALAN KONGSI
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,DUNGUN PERAPAKAN
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,TEBAS SUNGAI
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SEJIRAM
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SEBERKAT
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SEMPALAI
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,BEKUT
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,MAKRAMPAI
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,TEBAS KUALA
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,MEKAR SEKUNTUM
61,KALIMANTAN BARAT,6101,SAMBAS,,TEBAS,,SEGARAU PARIT
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,MATANG SEGARAU
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,RAMBAYAN
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,SARI MAKMUR
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,TEKARANG
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,SEMPADIAN
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,CEPALA
61,KALIMANTAN BARAT,6101,SAMBAS,,TEKARANG,,MERUBUNG
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,SUNGAI RAMBAH
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,GAPURA
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,KARTIASA
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,SAING RAMBI
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,LUMBANG
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,DURIAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,PASAR MELAYU
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,PENDAWAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,TANJUNG BUGIS
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,LUBUK DAGANG
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,DALAM KAUM
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,TANJUNG MEKAR
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,TUMUK MANGGIS
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,JAGUR
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,LORONG
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,SEBAYAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,SUMBER HARAPAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SAMBAS,,SEMANGAU
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,TEBUAH ELOK
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,MENSADE
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,SUNGAI SAPA`
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,SEMPURNA
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,BUKIT MULYA
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,SUNGAI DEDEN
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,SABUNG
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,MUKTI RAHARJA
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,BALAI GEMURUH
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,MADAK
61,KALIMANTAN BARAT,6101,SAMBAS,,SUBAH,,KARABAN JAYA
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,SEBAWI
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,SEMPALAI SEBEDANG
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,SEPUK TANJUNG
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,SEBANGUN
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,TEMPATAN
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,TEBING BATU
61,KALIMANTAN BARAT,6101,SAMBAS,,SEBAWI,,RANTAU PANJANG
61,KALIMANTAN BARAT,6101,SAMBAS,,SAJAD,,JIRAK
61,KALIMANTAN BARAT,6101,SAMBAS,,SAJAD,,TENGGULI
61,KALIMANTAN BARAT,6101,SAMBAS,,SAJAD,,MEKAR JAYA
61,KALIMANTAN BARAT,6101,SAMBAS,,SAJAD,,BERINGIN
61,KALIMANTAN BARAT,6101,SAMBAS,,JAWAI,,DUNGUN LAUT
61,KALIMANTAN BARAT,6101,SAMBAS,,JAWAI,,SENTEBANG
61,KALIMANTAN BARAT,6101,SAMBAS,,JAWAI,,SUNGAI NYIRIH
